"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Nick Madrigal","CHC","106","460","421","125","22","5","4","55","40","27","34","7","9","6","",".297",".347",".401",".748",".326","","2.2","-1.2","","1.9","20521"
"Mark Canha","NYM","119","512","428","101","19","3","16","69","56","62","116","18","6","2","",".236",".354",".408",".762",".336","","-2.4","-0.2","","1.9","11445"
"Adam Frazier","SEA","120","519","469","125","23","3","8","62","42","36","66","7","6","4","",".266",".326",".379",".705",".308","","0.6","-0.4","","1.9","15223"
"Luis Arraez","MIN","125","539","482","145","25","4","5","67","46","49","50","2","4","3","",".300",".365",".400",".764",".333","","-0.1","-0.5","","1.9","18568"
"Amed Rosario","CLE","122","529","494","136","23","6","12","64","57","27","102","3","12","4","",".276",".315",".416",".731",".314","","-2.2","1.0","","1.9","15518"
"Andrés Giménez","CLE","99","430","392","97","20","3","13","51","46","22","102","11","16","5","",".248",".304",".414",".718",".309","","3.4","1.1","","1.9","19950"
"Michael Conforto","","107","462","391","99","20","1","18","60","60","57","102","9","3","1","",".252",".357",".448",".805",".348","","-2.7","-0.2","","1.9","16376"
"Avisaíl García","MIA","135","582","528","136","24","1","23","68","75","39","138","10","8","4","",".257",".318",".434",".753",".322","","1.1","-0.8","","1.9","5760"
"AJ Pollock","CHW","107","463","420","110","23","1","22","60","72","32","95","6","7","2","",".262",".321",".476",".797",".337","","-0.6","0.0","","1.8","9256"
"Eugenio Suárez","SEA","126","545","478","102","19","1","26","63","74","56","161","7","1","1","",".214",".304",".421",".724",".312","","-1.9","-1.5","","1.8","12552"
"Manuel Margot","TBR","113","489","443","115","23","3","12","58","56","39","86","2","15","7","",".260",".321",".406",".727",".314","","2.8","0.1","","1.8","14712"
"Jonah Heim","TEX","63","248","226","56","11","0","8","28","29","18","44","2","2","1","",".249",".306",".402",".708",".307","","2.8","-0.3","","1.8","16930"
"C.J. Cron","COL","128","552","488","131","28","2","31","73","92","48","123","12","1","0","",".269",".346",".522",".869",".367","","0.1","-1.5","","1.8","12546"
"Mike Zunino","TBR","76","298","268","52","10","1","17","37","42","23","108","5","0","0","",".195",".267",".431",".698",".297","","1.6","-0.4","","1.8","13265"
"Gio Urshela","MIN","111","479","445","120","26","1","15","55","59","27","97","3","1","0","",".270",".315",".435",".750",".322","","-0.8","-1.2","","1.8","10681"
"Gavin Lux","LAD","100","433","381","96","17","4","13","59","55","45","94","2","6","2","",".253",".334",".426",".759",".327","","-0.8","0.5","","1.8","19955"
"Franmil Reyes","CLE","141","608","546","136","22","1","36","77","101","55","187","3","3","1","",".250",".319",".495",".814",".344","","0.0","-1.4","","1.8","14566"
"Austin Hays","BAL","126","545","500","128","27","3","22","68","70","32","114","7","6","4","",".256",".308",".453",".761",".325","","2.6","-0.7","","1.8","19363"
"Carson Kelly","ARI","99","395","343","79","16","1","14","44","48","43","86","5","1","0","",".231",".324",".406",".730",".316","","0.1","-0.4","","1.8","13620"
"J.D. Martinez","BOS","143","617","550","147","34","2","27","82","91","58","144","5","1","0","",".268",".341",".482",".823",".348","","-0.2","-1.8","","1.7","6184"
"Ji-Man Choi","TBR","109","470","393","94","21","1","17","56","61","68","127","4","1","1","",".238",".355",".426",".781",".340","","-1.3","-0.8","","1.7","5452"
"Lorenzo Cain","MIL","112","483","431","114","22","0","10","56","45","41","85","5","15","5","",".263",".332",".387",".719",".315","","3.6","0.8","","1.7","9077"
"Lourdes Gurriel Jr.","TOR","129","558","517","142","30","2","23","70","82","31","114","5","3","3","",".274",".318",".474",".792",".336","","-0.6","-1.3","","1.7","19238"
"Joey Wendle","MIA","112","483","441","116","26","4","9","56","47","27","94","10","10","4","",".263",".318",".400",".718",".310","","1.3","-0.1","","1.7","13853"
